name,latitude,longitude,population
Graz,47.06733,15.44197,291072
Linz,48.30639,14.28611,205726
Salzburg,47.79941,13.04399,155021
Innsbruck,47.26266,11.39454,131961
Villach,46.61028,13.85583,63269
Wels,48.16667,14.03333,62470
Sankt Pölten,48.20762,15.63725,55878
Dornbirn,47.41427,9.74195,50363
Wiener Neustadt,47.80485,16.23196,46291
Steyr,48.04274,14.42127,38603
Feldkirch,47.23306,9.6,34710
Bregenz,47.50311,9.7471,29806
Klosterneuburg,48.30521,16.32522,27759
Baden,48.00543,16.23264,26274
Wolfsberg,46.84056,14.84417,25105
Leoben,47.3765,15.09144,24912
Krems an der Donau,48.40921,15.61415,24610
Traun,48.22086,14.23833,24417
Amstetten,48.1229,14.87206,23816
Lustenau,47.42642,9.65851,23581
Hallein,47.68333,13.1,21246
Mödling,48.08605,16.28921,20840
Döbling,48.25,16.33333,20000
Wilten,47.25829,11.38808,20000
Vienna,48.20849,16.37208,20000
Wetzelsdorf,47.05293,15.39923,20000
Straßgang,47.03333,15.4,20000
Simmering,48.18333,16.43333,20000
Sankt Peter,47.05,15.46667,20000
Sankt Martin,46.61667,14.28333,20000
Saalfelden am Steinernen Meer,47.42681,12.848,20000
Pradl,47.26539,11.4152,20000
Ottakring,48.21667,16.3,20000
Meidling,48.16667,16.33333,20000
Klagenfurt am Wörthersee,46.62472,14.30528,20000
Innere Stadt,48.20906,16.37135,20000
Penzing,48.2,16.26667,20000
Hötting,47.26815,11.36868,20000
Hohenems,47.36121,9.68694,20000
Hietzing,48.18623,16.2965,20000
Hernals,48.22544,16.30871,20000
Fünfhaus,48.19596,16.3183,20000
Floridsdorf,48.25,16.4,20000
Essling,48.21289,16.52442,20000
Eggenberg,47.07,15.39871,20000
Aspern,48.21806,16.48306,20000
Favoriten,48.16116,16.38233,20000
Donaustadt,48.2333,16.46002,20000
Jakomini,47.05441,15.44984,20000
Lend,47.08256,15.41589,20000
Geidorf,47.08393,15.444,20000
Sankt Leonhard,47.06924,15.45784,20000
Andritz,47.11387,15.42348,20000
Gries,47.06236,15.42421,20000
Währing,48.22611,16.34484,20000
Landstraße,48.2019,16.38792,20000
Margareten,48.1855,16.35373,20000
Mariahilf,48.19571,16.35215,20000
Neubau,48.20172,16.34715,20000
Josefstadt,48.21243,16.34549,20000
Alsergrund,48.22321,16.35506,20000
Brigittenau,48.24275,16.37551,20000
Traiskirchen,48.01485,16.29324,19513
Schwechat,48.13333,16.46667,19033
Stockerau,48.38333,16.21667,16944
Telfs,47.30707,11.06817,16022
Ternitz,47.71565,16.03575,15130
Perchtoldsdorf,48.11935,16.26607,14867
Eisenstadt,47.84565,16.52327,14816
Bludenz,47.15476,9.82255,14808
Hall in Tirol,47.28333,11.51667,14018
Lienz,46.8289,12.76903,11864
Knittelfeld,47.21667,14.81667,11272
Neu-Guntramsdorf,48.0642,16.31573,8000
Zirl,47.2741,11.23961,8000
Zell am See,47.32306,12.79839,8000
Wörgl,47.48906,12.06174,8000
Wolfurt,47.46667,9.75,8000
Wölfnitz,46.66639,14.25806,8000
Wimpassing,48.16667,13.98333,8000
Wilhelmsburg,48.10571,15.60539,8000
Wiener Neudorf,48.08278,16.31384,8000
Weiz,47.21667,15.61667,8000
Wattens,47.29419,11.5907,8000
Waltendorf,47.06667,15.46667,8000
Vösendorf,48.12107,16.34036,8000
Vorchdorf,48.00388,13.92122,8000
Völs,47.25,11.33333,8000
Völkendorf,46.60806,13.83153,8000
Voitsberg,47.04445,15.15313,8000
Viktring,46.59194,14.26917,8000
Tulln,48.32829,16.05858,8000
Trofaiach,47.42524,15.00681,8000
Strasshof an der Nordbahn,48.31667,16.66667,8000
Spratzern,48.17044,15.61844,8000
Spittal an der Drau,46.8,13.5,8000
Sollenau,47.89834,16.24833,8000
Seiersberg,47.0,15.4,8000
Schwaz,47.35169,11.71014,8000
Schärding,48.45294,13.43722,8000
Sankt Veit an der Glan,46.76806,14.36028,8000
Sankt Valentin,48.16667,14.51667,8000
Sankt Ruprecht,46.6,14.31667,8000
Sankt Johann in Tirol,47.5233,12.4232,8000
Rum,47.28333,11.45,8000
Ries,47.08315,15.485,8000
Ried im Innkreis,48.21123,13.48855,8000
Reutte,47.48333,10.71667,8000
Rankweil,47.27108,9.64308,8000
Purkersdorf,48.20769,16.17539,8000
Puntigam,47.03333,15.43333,8000
Pressbaum,48.18333,16.08333,8000
Pöllau,47.3,15.83333,8000
Pinkafeld,47.3709,16.1241,8000
Perg,48.25,14.63333,8000
Oberwart,47.28971,16.20595,8000
Oberndorf bei Salzburg,47.93911,12.95108,8000
Neuzeug,48.05,14.33333,8000
Neusiedl am See,47.94901,16.8417,8000
Neunkirchen,47.72096,16.08107,8000
Neuhofen an der Krems,48.13866,14.22764,8000
Mürzzuschlag,47.6066,15.67226,8000
Mühlau,47.28333,11.4,8000
Mistelbach,48.57,16.57667,8000
Micheldorf in Oberösterreich,47.87764,14.13357,8000
Mattighofen,48.10732,13.15081,8000
Mattersburg,47.73333,16.4,8000
Mariatrost,47.09641,15.46537,8000
Maria Enzersdorf,48.1,16.28333,8000
Marchtrenk,48.19022,14.10908,8000
Lochau,47.53333,9.75,8000
Liezen,47.56667,14.23333,8000
Liebenau,47.03333,15.46667,8000
Lichtenegg,48.15,14.0,8000
Leopoldsdorf,48.11557,16.39126,8000
Leibnitz,46.78161,15.53836,8000
Lauterach,47.47572,9.72941,8000
Langenzersdorf,48.30432,16.36143,8000
Landeck,47.13988,10.56593,8000
Laakirchen,47.98188,13.82166,8000
Kufstein,47.58333,12.16667,8000
Kremsmünster,48.0529,14.12919,8000
Kottingbrunn,47.95096,16.22715,8000
Korneuburg,48.35,16.33333,8000
Kitzbühel,47.44637,12.39215,8000
Kirchberg in Tirol,47.44539,12.31602,8000
Kindberg,47.5,15.45,8000
Kalsdorf bei Graz,46.96528,15.48028,8000
Judendorf,47.4,15.1,8000
Judenburg,47.16667,14.66667,8000
Jenbach,47.39173,11.77245,8000
Imst,47.24504,10.73974,8000
Horn,48.66274,15.65663,8000
Hörbranz,47.55,9.75,8000
Hollabrunn,48.55,16.08333,8000
Höchst,47.45934,9.6405,8000
Himberg,48.08333,16.43333,8000
Hart,48.26526,14.25691,8000
Hard,47.48306,9.68306,8000
Hainburg an der Donau,48.14627,16.94504,8000
Haid,48.20477,14.25107,8000
Hafendorf,47.45653,15.31837,8000
Haag,48.27063,14.26875,8000
Guntramsdorf,48.04687,16.31384,8000
Groß-Enzersdorf,48.20278,16.55083,8000
Gratkorn,47.13333,15.35,8000
Götzis,47.33306,9.63306,8000
Gösting,47.09788,15.39777,8000
Gmunden,47.91839,13.79933,8000
Gleisdorf,47.10559,15.71011,8000
Gerasdorf bei Wien,48.29447,16.46765,8000
Gänserndorf,48.33925,16.72016,8000
Gallneukirchen,48.35363,14.41604,8000
Fürstenfeld,47.05,16.08333,8000
Freistadt,48.51103,14.50453,8000
Fischamend,48.11843,16.61211,8000
Enns,48.21346,14.47612,8000
Ebreichsdorf,47.95579,16.40705,8000
Deutschlandsberg,46.81528,15.22222,8000
Deuchendorf,47.46593,15.32172,8000
Brunn am Gebirge,48.10697,16.28466,8000
Bruck an der Mur,47.41667,15.28333,8000
Bruck an der Leitha,48.0242,16.7757,8000
Breitenfurt bei Wien,48.13333,16.15,8000
Bischofshofen,47.41667,13.21667,8000
Berndorf,47.94567,16.10973,8000
Bad Vöslau,47.96533,16.21359,8000
Bad Hall,48.03832,14.20773,8000
Axams,47.23111,11.27892,8000
Arzl,47.28333,11.43333,8000
Annabichl,46.65,14.31667,8000
Amras,47.25,11.41667,8000
Altach,47.35438,9.65207,8000
Absam,47.29572,11.50593,8000
Finkenstein am Faaker See,46.56081,13.87115,8000
Attnang-Puchheim,48.00833,13.71667,8000
Auen,46.59963,13.84389,8000
Frastanz,47.21735,9.62995,8000
Kirchbichl,47.51743,12.09629,8000
Kirchenviertel,47.13124,15.34764,8000
Oberhaid,48.17593,14.01495,8000
Villacher Vorstadt,46.62368,14.28892,8000
