name,latitude,longitude,population
Zürich,47.36667,8.55,421878
Basel,47.55839,7.57327,177654
Lausanne,46.516,6.63282,139111
Bern,46.94809,7.44744,134794
Winterthur,47.50564,8.72413,115104
Luzern,47.05048,8.30635,82620
Lugano,46.01008,8.96004,63932
Biel/Bienne,47.13713,7.24608,55206
Thun,46.75118,7.62166,45356
Köniz,46.92436,7.41457,43332
La Chaux-de-Fonds,47.09993,6.82586,38965
Fribourg,46.80237,7.15128,38829
Chur,46.84986,9.53287,38156
Schaffhausen,47.69732,8.63493,37035
Uster,47.34713,8.72091,35563
Neuchâtel,46.99179,6.931,34063
Emmen,47.07819,8.27331,31291
Zug,47.17242,8.51745,30934
Yverdon-les-Bains,46.77852,6.64115,30451
Dübendorf,47.39724,8.61872,29248
Dietikon,47.40165,8.40015,28499
Kriens,47.0311,8.28547,28194
Montreux,46.43301,6.91143,26574
Frauenfeld,47.55776,8.89893,25931
Wetzikon,47.3264,8.79779,25167
Baar,47.19625,8.52954,25052
Wädenswil,47.22683,8.6687,24281
Wil,47.46152,9.04552,24139
Kreuzlingen,47.65051,9.17504,22982
Horgen,47.25983,8.59778,22700
Carouge,46.18096,6.13921,22600
Bülach,47.52197,8.54049,22143
Aarau,47.39254,8.04422,21712
Allschwil,47.55074,7.53599,21485
Wettingen,47.46606,8.32663,20000
Vevey,46.46299,6.84345,20000
Vernier,46.21702,6.08497,20000
Sitten,46.22739,7.35559,20000
Sierre,46.29192,7.53559,20000
Zürich (Kreis 11) / Seebach,47.42181,8.54779,20000
Schwyz,47.02076,8.65414,20000
Sankt Gallen,47.42391,9.37477,20000
Renens,46.53989,6.5881,20000
Rapperswil,47.22557,8.82228,20000
Pully,46.51027,6.66183,20000
Onex,46.18396,6.10237,20000
Zürich (Kreis 11) / Oerlikon,47.40823,8.54258,20000
Nyon,46.38318,6.23955,20000
Morges,46.51127,6.49854,20000
Monthey,46.25451,6.95406,20000
Meyrin,46.23424,6.08025,20000
Martigny-Ville,46.10276,7.07245,20000
Littau,47.05,8.26274,20000
Kloten,47.45152,8.58491,20000
Jona,47.22983,8.83884,20000
Zürich (Kreis 10) / Höngg,47.40313,8.4971,20000
Genève,46.20222,6.14569,20000
Einsiedeln,47.12849,8.74735,20000
Cham,47.18213,8.46358,20000
Burgdorf,47.05901,7.62786,20000
Bulle,46.61797,7.0569,20000
Zürich (Kreis 4) / Aussersihl,47.37752,8.52127,20000
Adliswil,47.30997,8.52462,20000
Riehen,47.57884,7.64683,20000
Zürich (Kreis 10) / Wipkingen,47.39503,8.52529,20000
Zürich (Kreis 11) / Affoltern,47.41814,8.5122,20000
Zürich (Kreis 2) / Wollishofen,47.3401,8.53134,20000
Zürich (Kreis 3) / Sihlfeld,47.37382,8.51164,20000
Zürich (Kreis 6) / Unterstrass,47.3953,8.53721,20000
Zürich (Kreis 9) / Albisrieden,47.37398,8.49007,20000
Zürich (Kreis 9) / Altstetten,47.38946,8.48533,20000
Stadt Winterthur (Kreis 1),47.49494,8.71954,20000
Zürich (Kreis 12),47.40372,8.57608,20000
Seen (Kreis 3),47.47646,8.76996,20000
Zürich (Kreis 3),47.35785,8.50296,20000
Zürich (Kreis 11),47.42326,8.52166,20000
Zürich (Kreis 9),47.38245,8.47993,20000
Oberwinterthur (Kreis 2),47.51692,8.76863,20000
Zürich (Kreis 10),47.40773,8.5005,20000
Zürich (Kreis 2),47.33756,8.5211,20000
Zürich (Kreis 8),47.3548,8.56097,20000
Zürich (Kreis 7),47.37328,8.58038,20000
Zürich (Kreis 6),47.39223,8.54381,20000
Lancy,46.18981,6.11441,20000
Baden,47.47333,8.30592,19548
Reinach,47.25732,8.18091,19213
Olten,47.34999,7.90329,19056
Gossau,47.41551,9.25482,18987
Bellinzona,46.19278,9.01703,18601
Thalwil,47.29175,8.56351,18221
Muttenz,47.52271,7.64511,17979
Grenchen,47.1921,7.39586,17278
Wohlen,47.35066,8.27517,16931
Solothurn,47.20791,7.53714,16777
Langenthal,47.21526,7.79607,16456
Steffisburg,46.77807,7.63249,16202
Locarno,46.17086,8.79953,16033
Herisau,47.38615,9.27916,15718
Arbon,47.51667,9.43333,14932
Arth,47.06337,8.52349,12407
Davos,46.80429,9.83723,10861
Zuchwil,47.20173,7.56649,8000
Zollikon,47.34019,8.57407,8000
Zollikofen,46.99905,7.45809,8000
Zofingen,47.28779,7.94586,8000
Zermatt,46.01998,7.74863,8000
Würenlos,47.44205,8.36261,8000
Worb,46.92984,7.56306,8000
Wollerau,47.19478,8.71903,8000
Wittenbach,47.46108,9.38601,8000
Zürich (Kreis 7) / Witikon,47.35751,8.59105,8000
Windisch,47.47899,8.21842,8000
Willisau,47.12183,7.99418,8000
Zürich (Kreis 3) / Alt-Wiedikon,47.36201,8.51497,8000
Weinfelden,47.56667,9.1,8000
Wattwil,47.29955,9.08657,8000
Wallisellen,47.41499,8.59672,8000
Visp,46.2937,7.88149,8000
Villmergen,47.35009,8.24762,8000
Villars-sur-Glâne,46.79054,7.11717,8000
Viganello,46.01342,8.96879,8000
Veyrier,46.16699,6.18436,8000
Versoix,46.28382,6.16214,8000
Veltheim (Kreis 5),47.51419,8.717,8000
Uzwil,47.43653,9.13422,8000
Uznach,47.22421,8.98263,8000
Urtenen,47.02667,7.50081,8000
Untersiggenthal,47.50213,8.25554,8000
Unterseen,46.6853,7.84722,8000
Unterägeri,47.13645,8.5853,8000
Uetendorf,46.77392,7.57251,8000
Trimbach,47.36561,7.8868,8000
Töss (Kreis 4),47.4789,8.70215,8000
Therwil,47.49941,7.55669,8000
Teufen,47.3908,9.38644,8000
Sursee,47.17088,8.11113,8000
Sumiswald,47.02747,7.74526,8000
Suhr,47.37172,8.07967,8000
Steinhausen,47.1951,8.48581,8000
Stans,46.95805,8.36609,8000
Stäfa,47.24254,8.72342,8000
Spreitenbach,47.42285,8.36792,8000
Spiez,46.68473,7.69111,8000
Sissach,47.46408,7.80888,8000
Sirnach,47.46222,8.99763,8000
Siebnen,47.17449,8.89781,8000
Schübelbach,47.17326,8.92811,8000
Schlieren,47.39668,8.44763,8000
Savièse,46.25115,7.34558,8000
Sarnen,46.89611,8.24531,8000
Sargans,47.04896,9.44103,8000
Sankt Margrethen,47.45253,9.63741,8000
Saint-Imier,47.15284,6.99692,8000
Saanen,46.48945,7.26003,8000
Rüti,47.25603,8.85552,8000
Ruswil,47.08425,8.12645,8000
Rümlang,47.45041,8.52993,8000
Rotkreuz,47.14283,8.4314,8000
Rothrist,47.30508,7.89196,8000
Rorschach,47.478,9.4903,8000
Romont,46.69652,6.91898,8000
Romanshorn,47.56586,9.37869,8000
Richterswil,47.20622,8.69686,8000
Rheinfelden,47.55437,7.79403,8000
Regensdorf,47.4341,8.46874,8000
Prilly,46.53698,6.60456,8000
Pregassona,46.02021,8.97429,8000
Pratteln,47.52071,7.69356,8000
Porrentruy,47.41728,7.07573,8000
Plan-les-Ouates,46.16789,6.11664,8000
Pfäffikon,47.36453,8.79202,8000
Peseux,46.98704,6.88903,8000
Payerne,46.82192,6.93817,8000
Orbe,46.72504,6.53069,8000
Ollon,46.29524,6.99314,8000
Oftringen,47.31382,7.92533,8000
Oberwil,47.51407,7.55786,8000
Oberuzwil,47.43076,9.12724,8000
Urdorf,47.38507,8.42581,8000
Obersiggenthal,47.4875,8.29652,8000
Oberriet,47.32088,9.56808,8000
Oberentfelden,47.35639,8.04594,8000
Oberengstringen,47.40841,8.46515,8000
Nidau,47.12545,7.24033,8000
Neuhausen,47.68579,8.61474,8000
Neuenkirch,47.09989,8.20416,8000
Neuenhof,47.44985,8.32682,8000
Naters,46.32536,7.98912,8000
Murten/Morat,46.92827,7.11715,8000
Muri,47.27428,8.33854,8000
Münsingen,46.87298,7.561,8000
Münchwilen,47.47719,8.99677,8000
Münchenstein,47.51848,7.60966,8000
Münchenbuchsee,47.02175,7.45036,8000
Moutier,47.27818,7.36951,8000
Möhlin,47.55915,7.84329,8000
Minusio,46.17769,8.81473,8000
Menziken,47.23965,8.18996,8000
Mendrisio,45.87019,8.9816,8000
Meilen,47.27232,8.64617,8000
Meggen,47.04691,8.37467,8000
Massagno,46.01257,8.94354,8000
Marly,46.77611,7.16459,8000
Männedorf,47.25686,8.69893,8000
Malters,47.03628,8.18193,8000
Lyss,47.0741,7.30655,8000
Lutry,46.50241,6.68647,8000
Losone,46.16866,8.75928,8000
Liestal,47.48455,7.73446,8000
Lenzburg,47.38853,8.17503,8000
Lengnau,47.18155,7.36814,8000
Le Mont-sur-Lausanne,46.55815,6.63145,8000
Le Locle,47.05619,6.74913,8000
Laufen,47.42193,7.49946,8000
La Tour-de-Peilz,46.45312,6.85856,8000
Langnau,46.93936,7.78738,8000
Landquart,46.95,9.56667,8000
Lachen,47.19224,8.85324,8000
Küttigen,47.41484,8.04979,8000
