name,latitude,longitude,population
Berlin,52.52437,13.41053,3426354
Hamburg,53.55073,9.99302,1845229
Munich,48.13743,11.57549,1260391
Köln,50.93333,6.95,963395
Frankfurt am Main,50.11552,8.68417,650000
Stuttgart,48.78232,9.17702,630305
Düsseldorf,51.22172,6.77616,620523
Großzschocher,51.30147,12.32322,597493
Kleinzschocher,51.31568,12.31979,597493
Essen,51.45657,7.01228,593085
Dortmund,51.51494,7.466,588462
Dresden,51.05089,13.73832,556227
Bremen,53.07582,8.80717,546501
Nürnberg,49.45421,11.07752,515543
Hannover,52.37052,9.73322,515140
Leipzig,51.33962,12.37129,504971
Duisburg,51.43247,6.76516,504358
Wandsbek,53.58334,10.08305,411422
Bochum,51.48165,7.21648,385729
Bochum-Hordel,51.50168,7.1756,380000
Wuppertal,51.25627,7.14816,360797
Bielefeld,52.03333,8.53333,331906
Bonn,50.73438,7.09549,330579
Hamburg-Nord,53.58935,9.984,315514
Mannheim,49.4891,8.46694,307960
Hamburg-Mitte,53.55,10.01667,301231
Marienthal,53.56667,10.08333,287101
Karlsruhe,49.00937,8.40444,283799
Wiesbaden,50.08258,8.24932,278609
Münster,51.96236,7.62571,270184
Gelsenkirchen,51.50508,7.09654,270028
Eimsbüttel,53.57416,9.95679,269118
Aachen,50.77664,6.08342,265208
Mönchengladbach,51.18539,6.44172,261742
Augsburg,48.37154,10.89851,259196
Altona,53.55,9.93333,250192
Chemnitz,50.8357,12.92922,247220
Kiel,54.32133,10.13489,246601
Braunschweig,52.26594,10.52673,244715
Krefeld,51.33645,6.55381,237984
Halle (Saale),51.48158,11.97947,237865
Magdeburg,52.12773,11.62916,235775
Neue Neustadt,52.15,11.63333,226851
Oberhausen,51.47805,6.8625,219176
Mainz,49.98419,8.2791,217123
Freiburg,47.9959,7.85222,215966
Erfurt,50.9787,11.03283,213692
Lübeck,53.86893,10.68729,212207
Hagen,51.36081,7.47168,198972
Rostock,54.0887,12.14049,198293
Kassel,51.31667,9.5,194501
