,lat,lng
1010,48.2077,16.3705
1020,48.2167,16.4
1030,48.1981,16.3948
1040,48.192,16.3671
1050,48.1865,16.3549
1060,48.1952,16.3503
1070,48.2,16.35
1080,48.2167,16.35
1090,48.2333,16.35
1100,48.1521,16.3878
1110,48.164,16.4463
1120,48.1705,16.3223
1130,48.1773,16.2456
1140,48.2121333,16.1974333
1150,48.196,16.3183
1160,48.2167,16.3
1170,48.2338,16.2901
1180,48.2356,16.3193
1190,48.2591,16.3339
1200,48.2402,16.3773
1210,48.29055,16.38065
1220,48.219,16.495
1230,48.1433,16.2934
1300,48.15,16.5167
2000,48.38544,16.1685
2002,48.5074556,16.2317
2003,48.41,16.25
2004,48.45,16.291675
2011,48.4417111,16.1626778
2013,48.4915083,16.1246583
2014,48.508325,16.05
2020,48.5750647,16.0591235
2022,48.63765,16.13735
2023,48.616675,16.183325
2024,48.6738,16.1813
2031,48.5722333,16.1833333
2032,48.579325,16.256475
2033,48.6222333,16.2277667
2034,48.6653,16.23115
2041,48.6156667,16.1028667
2042,48.63556,16.0411
2051,48.68666,15.94334
2052,48.7,16.0222333
2053,48.7131,16.0234
2054,48.72454,16.04074
2061,48.7025333,16.1529333
2062,48.7146,16.1764
2063,48.7,16.2333
2064,48.7167,16.3
2070,48.7612667,15.9624167
2073,48.73685,15.911375
2074,48.7555667,16.0055667
2081,48.7821,15.8873667
2082,48.83335,15.85835
2083,48.8111333,15.8333333
2084,48.7690571,15.7976286
2091,48.8180667,15.7328667
2092,48.8521667,15.7905667
2093,48.7908667,15.68275
2094,48.83305,15.59995
2095,48.86612,15.61672
2100,48.3527667,16.3472167
2102,48.32994,16.37328
2103,48.3,16.35
2104,48.3833,16.25
2105,48.38998,16.31334
2111,48.4067429,16.3782
2112,48.433325,16.416675
2113,48.475,16.35835
2114,48.47668,16.41334
2115,48.5244,16.35934
2116,48.55835,16.383325
2120,48.375,16.5167
2122,48.39835,16.4785
2123,48.43055,16.4972333
2124,48.475,16.45835
2125,48.479175,16.500025
2126,48.5361,16.4472167
2130,48.5725889,16.5659222
2132,48.625,16.5167
2133,48.6445667,16.4465
2134,48.66336,16.49334
2135,48.71114,16.51058
2136,48.72436,16.38148
2141,48.675,16.55
2143,48.6384,16.72825
2144,48.6333,16.8
2145,48.6167,16.8167
2151,48.59514,16.45422
2152,48.6139,16.3753333
2153,48.6385667,16.2973333
2154,48.662525,16.3708
2161,48.7167,16.6167
2162,48.7167,16.5833
2163,48.75,16.5611
2164,48.7632,16.4955
2165,48.746875,16.6337
2170,48.6555667,16.6277833
2171,48.6833,16.6833
2172,48.7167,16.7167
2181,48.6,16.8167
2182,48.5833,16.8167
2183,48.5989,16.7615
2184,48.5978,16.7563
2185,48.6012,16.7125
2191,48.50554,16.57928
2192,48.55,16.65
2193,48.59165,16.645825
2201,48.3489,16.424
2202,48.3459333,16.4150667
2203,48.370525,16.4607
2211,48.35,16.5333
2212,48.3677,16.6072
2213,48.36,16.6039
2214,48.3667,16.6333
2215,48.3941,16.6582
2221,48.4147,16.6319
2222,48.45095,16.5908
2223,48.4613,16.6368333
2224,48.490125,16.674325
2225,48.5343222,16.7470667
2230,48.3392,16.7202
2231,48.33835,16.6353
2232,48.2887667,16.5666667
2241,48.3548,16.6912
2242,48.3868,16.7389
2243,48.4,16.7
2244,48.4639,16.7365
2245,48.4668,16.78195
2251,48.4333,16.7833
2252,48.4,16.8
2253,48.350525,16.776925
2261,48.38455,16.83335
2262,48.40835,16.8333
2263,48.4691,16.83715
2264,48.5044,16.87905
2265,48.53325,16.8953
2272,48.5667,16.85835
2273,48.6042,16.9047
2274,48.65,16.9
2275,48.6916,16.8695
2276,48.70085,16.796
2281,48.24265,16.57455
2282,48.2570333,16.6311
2283,48.2667,16.7
2284,48.25,16.7333
2285,48.2084,16.69845
2286,48.1918333,16.7589
2291,48.2452,16.81365
2292,48.1611333,16.8666333
2293,48.2789,16.9093
2294,48.22852,16.91562
2295,48.3189,16.8453
2301,48.1825909,16.601
2304,48.1535667,16.7067
2305,48.156475,16.8063
2320,48.12,16.3932
2322,48.12,16.3932
2325,48.12,16.3932
2326,48.12,16.3932
2331,48.1211,16.3404
2332,48.1117,16.3631
2333,48.118,16.3479
2334,48.1211,16.3404
2340,48.093,16.28625
2344,48.1,16.2833
2345,48.107,16.2847
2351,48.070475,16.332275
2352,48.0454,16.2771
2353,48.04615,16.29545
2361,48.0683,16.3561
2362,48.0839,16.3454
2371,48.0854333,16.2269333
2372,48.0978,16.2348
2380,48.1194,16.2661
2381,48.1433,16.19375
2384,48.1333,16.15
2391,48.1165,16.1996
2392,48.0996333,16.1231167
2393,48.075,16.17535
2401,48.1086,16.8053
2402,48.10835,16.7
2403,48.0944333,16.7833333
2404,48.1167,16.85
2405,48.12585,16.921
2410,48.1463,16.945
2412,48.1333,17.0
2413,48.1,17.0083
2421,48.0925,17.0639
2422,48.05,17.0333
2423,48.0167,17.1
2424,47.9831,17.0031
2425,47.9406,17.0694
2431,48.08855,16.6033
2432,48.0667,16.5833
2433,48.0333,16.6
2434,48.00815,16.598325
2435,48.020475,16.58415
2440,47.973575,16.4883
2441,47.9647667,16.4788333
2442,47.95835,16.425
2443,47.92615,16.507975
2444,47.9667,16.5167
2451,47.9365,16.5706
2452,47.9820667,16.5726
2453,47.9833,16.65
2454,48.0167,16.65
2460,48.0167,16.775
2462,48.0129,16.7134333
2463,48.04165,16.65
2464,48.05835,16.71665
2465,48.0667,16.7833
2471,48.0542667,16.8631833
2472,48.0667,16.95
2473,48.0477,16.9432
2474,48.0167,16.9833
2475,48.0167,16.9333
2481,48.0803,16.3861
2482,48.0333,16.3833
2483,47.95,16.4
2485,47.9167,16.425
2486,47.9,16.3777667
2490,47.8826,16.35475
2491,47.859975,16.3991
2492,47.85405,16.32755
2493,47.8457,16.30255
2500,48.0119,16.211925
2504,47.9846,16.2174
2511,48.01995,16.24945
2512,47.99575,16.28135
2514,48.0162667,16.2966667
2521,47.9935,16.3427
2522,47.9757,16.3219
2523,47.95,16.3
2524,47.95,16.2833
2525,47.9392,16.2572
2531,48.0536,16.2
2532,48.04532,16.13074
2533,48.0651,16.0487667
2534,48.04349,16.08669
2540,47.9612667,16.1918
2542,47.9395,16.2218
2544,47.94152,16.21902
2551,47.931,16.1791
2552,47.931,16.1791
2560,47.9163,16.098275
2563,47.9582,16.0948
2564,47.9714533,16.06028
2565,47.99806,16.08392
2571,48.0178,15.9907
2572,48.0359875,15.9153
2601,47.8752667,16.2812
2602,47.9113667,16.2641333
2603,47.8869333,16.2660667
2604,47.85405,16.27755
2620,47.711215,16.075045
2624,47.7476667,16.1409
2625,47.72425,16.16045
2630,47.70306,15.99059
2631,47.742825,15.966725
2632,47.6805667,16.0098778
2640,47.6621387,15.9468742
2641,47.654075,15.90885
2642,47.6383,15.8813
2650,47.6841857,15.855
2651,47.6898818,15.8094091
2654,47.6819,15.79416
2661,47.8362,15.7291
2662,47.8278143,15.7281143
2663,47.86545,15.73255
2671,47.677475,15.87735
2673,47.67425,15.8496
2680,47.6151,15.7755
2700,47.81026,16.22284
2721,47.8369667,16.1422333
2722,47.81,16.11005
2723,47.82855,16.092075
